epoch,train_mse_normalized,validation_mse_normalized,validation_rmse_mm_h,train_seconds,validation_seconds,peak_allocated_mib,skipped_amp_steps,best_epoch
1,0.49793837655787393,0.5039003040550238,0.11440412696825719,35.26928379999299,6.298523399993428,246.9287109375,4,1
2,0.44418689774352266,0.4774280132118232,0.11135848913382658,30.384158299988485,1.3135567999997875,246.9287109375,3,2
3,0.4318081601250359,0.460578845760961,0.10937583326023499,27.427896900000633,1.3499503000057302,246.9287109375,1,3
4,0.42466410371649455,0.4519026144220316,0.10834074259932197,27.299433499996667,1.3967572999972617,246.9287109375,2,4
5,0.4195394467686809,0.4453478166620992,0.10755213721245246,27.29970630000753,1.3831174000079045,246.9287109375,1,5
6,0.41725703307751594,0.44485439475296795,0.10749253965035066,27.620911699996213,1.338179600003059,246.9287109375,0,6
7,0.4144201477586519,0.44161131142106824,0.10710000115953613,27.664123999988078,1.2985076000040863,246.9287109375,2,7
8,0.4119116940226142,0.43898800990023684,0.10678142453760742,27.156317900007707,1.2919389000016963,246.9287109375,1,8
9,0.41032310238187236,0.43739903873388514,0.10658799508499246,27.385423500003526,1.3441947999963304,246.9287109375,2,9
10,0.4082002874335905,0.43761323574678956,0.10661409029065326,27.19077039998956,1.3953919000050519,246.9287109375,1,9
11,0.40766393514159394,0.4335696878942429,0.10612038990918476,27.31657759999507,1.3587543000030564,246.9287109375,2,11
12,0.40710452960361176,0.4334427243827508,0.10610485099556864,27.30475560000923,1.4524399999936577,246.9287109375,2,12
13,0.4059972849844361,0.43430435787605065,0.10621026065937973,26.812916399998358,1.32857939999667,246.9287109375,1,12
14,0.405283709554691,0.4347670631656984,0.1062668234891721,27.912475299992366,1.4212471000064397,246.9287109375,1,12
15,0.4038522496740884,0.4309652024490657,0.10580117324988073,27.526100299990503,1.3966393000009703,246.9287109375,2,15
16,0.40280446043106044,0.4294669127024482,0.10561709941957194,27.176845399997546,1.3011188999953447,246.9287109375,2,16
17,0.40267991813782633,0.4423497062364969,0.10718950187420691,27.355161600004067,1.3832531999942148,246.9287109375,1,16
18,0.4019619700300881,0.4330207943824328,0.10605319512787409,27.508895599996322,1.2901579000026686,246.9287109375,2,16
19,0.40206811686036154,0.4313539776247304,0.10584888429144329,27.34211040000082,1.3970017999963602,246.9287109375,2,16
20,0.40040004460924256,0.43288719101908524,0.10603683314614148,27.27954069999396,1.3371104000107152,246.9287109375,2,16
21,0.40036482562734854,0.43018995916524067,0.10570597000845441,26.660910399994464,1.2418544000101974,246.9287109375,0,16
