basin_id,RMSE,MAE,NSE,R,bias_mm_h,n_values,FHV_pct,FLV_pct,FLV_epsilon_mm_h
0,0.0373836991220537,0.012980790752015518,0.03979925345972268,0.20352207619872772,0.001289746052332911,1920,-85.47766154402322,-85.82786681366885,1e-06
1,0.05754523567343878,0.016866029776186526,0.21786213052595305,0.5061865997586593,-0.0070420829360955395,1920,-75.46827904128475,-25.816997122557744,1e-06
2,0.016950474255995055,0.010091548192933402,0.7897289816726065,0.9089929185384744,0.0010884042544514123,1632,11.763794562888977,-926.5243945453684,1e-06
3,0.018488882037534102,0.010969838338678529,0.5844718195886169,0.8638861850173859,0.007865455714333317,1920,18.56699863040956,34.83172434089819,1e-06
4,0.029928794080574493,0.017003016695059322,-0.2889785088036301,0.7223068148514799,0.012026470082852557,1872,28.13422042629768,-261.2259676253486,1e-06
5,0.08624979327329763,0.03250297737946367,0.6052136868082512,0.7916129269191132,-0.013892514375170735,528,-31.2577116165522,-776.3400530550194,1e-06
6,0.09162117049513213,0.03993392236055418,0.7924034082992987,0.9572809826998221,0.030666979047236965,1920,28.38142765757598,-1924.9557550052461,1e-06
7,0.023548821706566928,0.013955761503893882,0.7638082883729499,0.8817903841825757,-0.0012260664908570194,1680,4.036757238254607,-1113.0807828373624,1e-06
8,0.017856792374519898,0.011270065177150332,-0.004128473549113831,0.6677322123350791,0.0004049913690674625,1824,20.87384312595816,-486.9408221032706,1e-06
9,0.04228364171996873,0.01672744326196304,0.534589091422975,0.778910586367931,0.006239681170859513,1920,0.6005862942266801,-196.3462696488645,1e-06
10,0.19933752276205008,0.03347193861685961,0.0193425661637312,0.1725543277155773,-0.020276374654569433,1920,-83.4741948168488,100.0,1e-06
11,0.07528632783365169,0.022311621345579624,0.1586777124685096,0.41455557780415114,-0.006783092635062834,1920,-70.87665473438192,-493.3542936048955,1e-06
12,0.13790635428158649,0.04395032626861292,0.20192216143821828,0.47199931293216785,-0.02157001359672803,1728,-59.76424913763971,-34.606619904332284,1e-06
13,0.047845833756114606,0.01705760634758995,0.37025979777902274,0.6132074386296454,-0.0014065578909380708,1872,-54.63485683382124,100.0,1e-06
14,0.023820591996125823,0.01385239755943664,0.9168079752446927,0.9582054217688734,-0.002982984235631211,1632,-13.738436007648158,-1004.7647846886406,1e-06
15,0.03939561448701575,0.016825145496753707,0.7799976971433099,0.8976175760187585,0.0028726190748784575,1728,11.420332571744556,99.99999999999999,1e-06
16,0.0294045051797898,0.016388191673953164,0.8005377513389613,0.9001436047816933,-0.0005958102871469843,1920,-12.9399728758648,-461.17393520913987,1e-06
17,0.00829506410707949,0.006091051517728588,-16580.1545559654,-0.13595501367584478,0.0016765450447860535,1392,6518.959555926493,,1e-06
18,0.0846420750591699,0.01887055426646708,0.2118968532730955,0.5011281782682675,-0.016961682672158244,1776,-73.02703998665407,-277.31588286662014,1e-06
19,0.08691556131153651,0.04605162859079428,0.8996561908982191,0.9562147038905282,0.014226300849501664,1920,10.60768993026119,45.48652846827192,1e-06
20,0.008472700195452255,0.006676301915043344,-2.410005614888788,0.609057144527909,-0.001352533055210693,1440,43.52510358138824,-8735.929975277038,1e-06
21,0.0567147331802925,0.017356036001244017,0.43266781908557594,0.6740714275289355,-0.006930599493837993,1920,-17.53291974823851,-469.6945123344909,1e-06
22,0.02048334842689698,0.011559109926138185,0.8000643352809639,0.8974546944350641,-0.0032545083451669854,1872,-18.518964872058966,-1349.3216886071991,1e-06
