epoch,train_mse_normalized,validation_mse_normalized,validation_rmse_mm_h,train_seconds,validation_seconds,peak_allocated_mib,skipped_amp_steps,best_epoch
1,0.5602886236549363,0.5503722351257012,0.11956323013085568,41.9501608999999,7.234167999995407,272.4287109375,5,1
2,0.45490857378352345,0.4698116211951977,0.11046666904382191,33.63911489999737,1.183331599997473,272.4287109375,1,2
3,0.43470408579073555,0.4549626708403052,0.10870693813569406,22.65461129999312,1.211119300001883,272.4287109375,1,3
4,0.4241507516591333,0.4559246356977989,0.10882180144524672,23.028445799995097,1.141445000001113,272.4287109375,2,3
5,0.41582660300924085,0.4370248467096993,0.10654239266253723,25.245412999996915,1.1988707999989856,272.4287109375,2,5
6,0.4103203369827252,0.4347011907945345,0.10625877284159548,26.254870200005826,2.885281099996064,272.4287109375,0,6
7,0.4064417482210895,0.43965039137411777,0.10686195450089694,33.09995459999482,1.1710989999992307,272.4287109375,2,6
8,0.404215956243943,0.43043460093973335,0.10573602233768871,23.69876879999356,1.1809881000081077,272.4287109375,1,8
9,0.3996158858700765,0.43525489901154124,0.10632642578672401,43.151210099997115,3.519976499999757,272.4287109375,2,8
10,0.3972402572327946,0.4244183250979272,0.10499447460560912,36.3337576000049,2.9110443999961717,272.4287109375,2,10
11,0.39517668939669304,0.42631305856416996,0.10522857737503817,32.78296280000359,3.5959438999998383,272.4287109375,1,10
12,0.3938557188709186,0.4267928636013176,0.10528777683228834,27.55726180000056,1.1824611000047298,272.4287109375,2,10
13,0.3905226523849204,0.4238207800904459,0.10492053691402929,22.854261799991946,1.4780450999969617,272.4287109375,1,13
14,0.38958848626348447,0.41682269639533964,0.10405071297883321,26.58398969999689,1.1586358999920776,272.4287109375,2,14
15,0.3887416867806217,0.4252052469035912,0.10509176562036374,22.516434899996966,1.2007512999989558,272.4287109375,1,14
16,0.38581335299526615,0.43147299519509685,0.10586348599771926,23.25939359999029,1.1887074999976903,272.4287109375,1,14
17,0.3855179625375299,0.425375364311509,0.10511278623462426,27.397198400009074,1.1554253000067547,272.4287109375,1,14
18,0.38490711988262305,0.43218329513243375,0.10595058751615329,24.164157599996543,1.143358100001933,272.4287109375,1,14
19,0.3828661749398145,0.41561899893786647,0.10390036592317871,34.46389369999815,3.2619808000017656,272.4287109375,2,19
20,0.38136815473894903,0.4183572948699582,0.10424207655928323,40.49179789998743,3.736056900001131,272.4287109375,2,19
21,0.37981204719395617,0.40956230577628605,0.10314053285492171,38.97567880000861,3.804711300006602,272.4287109375,1,21
22,0.3793280152504838,0.41157195161389737,0.10339326887998579,57.86436910000339,3.007650100000319,272.4287109375,1,21
23,0.377683456979164,0.4087188301120419,0.10303427140727087,30.361254599993117,1.1495135000004666,272.4287109375,2,23
24,0.3773938207108909,0.40880798912405797,0.10304550887938135,28.510258099995553,1.5873587999958545,272.4287109375,1,23
25,0.37594962261664117,0.41142107951261286,0.10337431643497334,29.18177470000228,1.3225181000016164,272.4287109375,2,23
26,0.3751716835829686,0.40633245257502837,0.10273303911031917,23.44016620000184,1.1815169999899808,272.4287109375,1,26
27,0.37370795808673846,0.41017248175992543,0.10321733490986738,25.049859600010677,1.3793154999875696,272.4287109375,1,26
28,0.37274756644642726,0.40889665828415084,0.10305668339599564,31.026659900002414,1.1587233999889577,272.4287109375,1,26
29,0.37213372409883444,0.41005300670370476,0.10320230124039977,23.180870100011816,1.184080700011691,272.4287109375,2,26
30,0.37089741159823,0.40465222772915704,0.10252041344108997,25.929350600010366,1.1548169999878155,272.4287109375,1,30
31,0.3695874529326056,0.41010187206030707,0.10320845028325124,23.267943700004253,1.1510930999938864,272.4287109375,2,30
32,0.36910804805628894,0.4044070910957145,0.10248935551704826,22.87099450000096,1.1610064999986207,272.4287109375,2,32
33,0.3674272254481325,0.40812114241525077,0.1029589080499397,22.56824530000449,1.2308918000053382,272.4287109375,1,32
34,0.36730981867613754,0.4050408342035043,0.10256962920366255,24.48103199999605,1.151236699995934,272.4287109375,3,32
35,0.3666237964595514,0.4097086154818382,0.10315895387818577,22.782898899997235,1.1538453999964986,272.4287109375,0,32
36,0.3652819971508515,0.40039129234072574,0.10197922168368863,22.999404300004244,1.2036828999989666,272.4287109375,2,36
37,0.3638989726784896,0.414719760788099,0.10378790503352599,29.595701300000655,1.5248755000066012,272.4287109375,1,36
38,0.3636174338986789,0.4003325894908115,0.10197174563400903,31.80897319999349,3.0079085000033956,272.4287109375,1,38
39,0.36275352130994554,0.3995849587086503,0.10187648378806584,31.671905900002457,1.5325550999987172,272.4287109375,1,39
40,0.3606619548835154,0.40451696832129297,0.1025032777274502,31.252115600000252,1.4204305999883218,272.4287109375,2,39
41,0.36007969512761107,0.402220025826713,0.10221184457137222,31.024815800003125,1.4394525999960024,272.4287109375,1,39
42,0.3593311622637346,0.40837288964689666,0.10299065796622783,31.09535030000552,1.428600600003847,272.4287109375,2,39
43,0.3591812103140777,0.40508933415667153,0.1025757699095929,31.173122199994395,1.4651142999937292,272.4287109375,2,39
44,0.35699443452159957,0.4099426630405144,0.10318841463795668,31.343773900007363,1.4277258999936748,272.4287109375,1,39
