basin_id,RMSE,MAE,NSE,R,bias_mm_h,n_values,FHV_pct,FLV_pct,FLV_epsilon_mm_h
0,0.03710737516188182,0.012207914652838407,0.05394156095776981,0.23417908022722417,0.00024025729273328503,1920,-83.15412004114661,22.7413923096027,1e-06
1,0.057250063350499425,0.01759959132420287,0.22586534222164023,0.49589423724951504,-0.005261369008318677,1920,-73.68271605768425,-71.8284227284811,1e-06
2,0.016727944330007467,0.010392187764142257,0.7952137188853575,0.9177148377197742,0.0018358199640893943,1632,10.136869481525434,-657.8990079815638,1e-06
3,0.021364954258968977,0.012133485515065937,0.4451403880878493,0.8516038672929487,0.008107442473495515,1920,31.994561366260275,-603.9828748162006,1e-06
4,0.030967177661175845,0.01718022690324571,-0.3799726891548634,0.826180771326171,0.012455961356529295,1872,57.25384969118468,-106.46444504568484,1e-06
5,0.0860924078823676,0.032602905975981034,0.6066531548080842,0.7854127314665431,-0.012317152155667303,528,-29.834359420011584,-382.8787171150751,1e-06
6,0.10402041824512007,0.04387035625065134,0.7324125512852444,0.9463012739763059,0.03499490383740825,1920,35.06467917695656,-1649.0007956838629,1e-06
7,0.023804447191987554,0.014788915328903212,0.7586526742464813,0.8893548664574716,0.0008181552857249266,1680,13.940535938690495,-1101.7380376890833,1e-06
8,0.020886049197821246,0.0127952305544903,-0.3737097403530574,0.663817424648949,0.0026738901375976732,1824,38.55808570605523,-281.10626300079946,1e-06
9,0.03980323556322891,0.0163581284523616,0.5875906114810399,0.8058199738142361,0.005364033748545201,1920,-0.4226205377174129,-56.342920467622115,1e-06
10,0.19841268174260235,0.03434493945858321,0.028421120694879454,0.19581403732258942,-0.01951333622319756,1920,-81.66949610633058,100.0,1e-06
11,0.07413309895610139,0.022505293724437554,0.18425489717984844,0.44118522074724004,-0.004904428287409246,1920,-68.9621944258146,-1070.9864011405637,1e-06
12,0.13748369439845914,0.04515795931176938,0.20680661480496032,0.47186343210959736,-0.018349887529405317,1728,-58.8663271523609,-53.669394828989596,1e-06
13,0.04920075254714524,0.018742479237357463,0.33408828314674777,0.5780541592466956,8.505859309441135e-05,1872,-51.51737837559591,100.0,1e-06
