epoch,train_mse_normalized,validation_mse_normalized,validation_rmse_mm_h,train_seconds,validation_seconds,peak_allocated_mib,skipped_amp_steps,best_epoch
1,0.49291392811311513,0.47200712672546075,0.11072448248045004,58.42341469999519,7.334880599999451,270.2822265625,2,1
2,0.42480703262269026,0.44875520183676215,0.10796279741842804,39.47902550001163,3.4188235999899916,270.2822265625,2,2
3,0.4100725778670996,0.4341481265302259,0.10619115555001923,37.81497119998676,3.2377140000025975,270.2822265625,1,3
4,0.40013512993363415,0.4282250162329716,0.10546428151939372,35.04923169998801,2.9956206000060774,270.2822265625,3,4
5,0.39399074997289446,0.4218284715318419,0.10467363972196889,34.2244359000033,3.1600304000021424,270.2822265625,1,5
6,0.3886074482271756,0.4166261271456525,0.10402617546839897,31.08664740000677,3.426617699995404,270.2822265625,1,6
7,0.38504073688364404,0.41486476458836624,0.10380604779739279,32.87938719999511,2.966775900000357,270.2822265625,2,7
8,0.3814214432671314,0.41162742958816,0.10340023710972329,34.56107329999213,3.4586421999993036,270.2822265625,1,8
9,0.37803316884059607,0.42184166193700556,0.10467527626029885,32.331397899994045,3.5425701000058325,270.2822265625,2,8
10,0.3748438468154256,0.4068197145774986,0.10279461788409941,41.4877928999922,2.9720807999983663,270.2822265625,1,10
11,0.37297282120268643,0.4047867335466462,0.10253745084426565,35.54082419999759,2.993008400007966,270.2822265625,1,11
12,0.3721121519073023,0.40555376825699563,0.10263455452142849,36.39070730000094,3.099550300001283,270.2822265625,1,11
13,0.3684343137371493,0.40497490799256625,0.10256128152410002,34.007311800000025,2.956308099994203,270.2822265625,3,11
14,0.36806374929188274,0.4073823628604151,0.1028656779005919,34.118829600003664,3.037876699992921,270.2822265625,1,11
15,0.36623035510729146,0.41009232465914125,0.10320724890100848,37.40673979998974,3.146253600003547,270.2822265625,1,11
16,0.3644307700756967,0.403147871568851,0.10232966838547948,38.179384799994295,3.184947000001557,270.2822265625,2,16
17,0.3623670736423393,0.4064443106644823,0.10274717867835974,39.84953350000433,2.9237162999925204,270.2822265625,0,16
18,0.36208343026886775,0.4116764547928855,0.10340639445797133,33.24928609999188,3.0370609999954468,270.2822265625,3,16
19,0.35953518378030597,0.403912114062348,0.10242661501302243,33.43882290000329,3.080418199999258,270.2822265625,1,16
20,0.3583879277896224,0.4125445882019387,0.10351536749740174,32.36639450000075,2.9560627000028035,270.2822265625,1,16
21,0.35737399158785194,0.4065772455284352,0.10276397995373064,31.828828700003214,3.2175940000015544,270.2822265625,3,16
