basin_id,RMSE,MAE,NSE,R,bias_mm_h,n_values,FHV_pct,FLV_pct,FLV_epsilon_mm_h
0,0.03713991298550337,0.012896393499579991,0.05228171956610639,0.23311198771400796,0.0014952613230751885,1920,-83.70154681930369,-34.58546568527544,1e-06
1,0.05735925799910768,0.01757870345269718,0.2229094685860027,0.49405293074130086,-0.005133007130643819,1920,-74.12684752208945,-78.1302178438419,1e-06
2,0.01700374794129537,0.0100746245064097,0.7884051820966713,0.9184881991499391,0.0028530790030559085,1632,14.913522261746543,-859.6690490906233,1e-06
3,0.020125884329764268,0.011735125185502208,0.5076327888144948,0.8529647426390083,0.00790411661600956,1920,24.270404689263355,-645.6785409895358,1e-06
4,0.02736274498578083,0.015755122085714453,-0.07742380286753003,0.8100366880443425,0.01102715304603827,1872,32.64294347627657,-145.19732424879138,1e-06
5,0.086132947416239,0.03234074863686339,0.6062826261510981,0.7860082182997982,-0.012107675032342686,528,-31.32162821674934,-477.2876896094639,1e-06
6,0.0889484955484157,0.04015436621217911,0.8043383275505438,0.9559426464128017,0.032515067946709074,1920,22.053815457265454,-1782.254163207837,1e-06
7,0.023304792444783486,0.014094809203829972,0.7686780902543636,0.8932618930188191,0.0025987073568449846,1680,13.580117174147631,-1133.8093055225313,1e-06
8,0.020290807699610103,0.012261362705510436,-0.29652547434959176,0.6650361827681678,0.003225599391347108,1824,33.86760709096377,-647.5041369724973,1e-06
9,0.041477068861088616,0.01665005152944256,0.5521754428221918,0.7960217974769247,0.006312089572422034,1920,2.111478891263322,-127.07126977438696,1e-06
10,0.19874551959791195,0.03398317569124174,0.0251587338194611,0.1837148651460285,-0.01848067099100111,1920,-81.70976921243376,100.0,1e-06
11,0.07450425279626066,0.02211090217072827,0.1760662514515271,0.427270908752515,-0.0029928091797046365,1920,-68.30801229299385,-725.2793832812558,1e-06
12,0.1364361470347123,0.0446788191997998,0.21884792809657683,0.48446835392489457,-0.019441771724140616,1728,-60.01588607986163,-39.97332945462292,1e-06
13,0.05023205062771162,0.018527086466572376,0.3058793242584287,0.5532963294195089,0.0004904257544407083,1872,-58.27918482201632,100.0,1e-06
14,0.024729410349226447,0.01354924650656233,0.9103388890542486,0.9541371700955243,0.0004026755509674367,1632,-15.169377418471221,-1014.7817636356941,1e-06
15,0.037172505122506576,0.0160674449443158,0.8041267502151498,0.8991338805892359,0.0018449286104374482,1728,0.6246346019508183,11.455039619052817,1e-06
16,0.03360438627357336,0.01757328022722504,0.7394897016983948,0.9122034414892248,0.010026131275905452,1920,-0.5786244716633622,-525.0860819215061,1e-06
17,0.0074784339638881625,0.005819183122570227,-13476.104633586188,-0.07320395572172052,0.00043303641248051495,1392,5858.984246635605,,1e-06
18,0.08168745786770627,0.019358401093815522,0.26595747627572075,0.5649179358069514,-0.017967032015230297,1776,-72.52636100900898,100.0,1e-06
19,0.0967910780684262,0.048559140641009434,0.8755582359938282,0.9439682652823601,0.00905814742242607,1920,14.408726805676675,40.95860174553494,1e-06
20,0.010089559894205848,0.007438107758450011,-3.8356611523153985,0.5796208913389276,0.0022877017307716112,1440,74.82109824710672,-9452.905250639522,1e-06
21,0.05438820601137162,0.01636816406583724,0.4782588391281781,0.6971414688975169,-0.0036520238987577613,1920,-24.903492565129923,-457.8425104270125,1e-06
22,0.02100661108061234,0.011591150168415047,0.7897188440666545,0.8906314390768368,-0.001096328485878503,1872,-16.030052158268727,-1196.7911442424547,1e-06
23,0.07663104449506296,0.023262535972389742,0.6661533454735236,0.8677547400651082,-0.002261544204399494,1920,-49.10694204424305,-1216.6873431664994,1e-06
