epoch,train_mse_normalized,validation_mse_normalized,validation_rmse_mm_h,train_seconds,validation_seconds,peak_allocated_mib,skipped_amp_steps,best_epoch
1,0.547022588999018,0.5291874066509389,0.11723954690410589,48.200884699996095,6.287039399991045,299.23828125,5,1
2,0.4477104891754511,0.4724358407629192,0.11077475541419643,42.54704540000239,1.4881823000032455,299.23828125,1,2
3,0.42958574647110276,0.45610603970177305,0.10884344838613426,42.19198609999148,1.4001469999930123,299.23828125,1,3
4,0.4170720011884068,0.44850752784106046,0.1079330002508238,42.506449799999245,1.4149295999959577,299.23828125,1,4
5,0.40930082105628146,0.43588869495375726,0.10640381117975896,41.93729770000209,1.4683869000000414,299.23828125,3,5
6,0.4031905009385169,0.4340020385093578,0.10617328773020505,42.38200779999897,1.4741890000004787,299.23828125,1,6
7,0.39883857065415756,0.43453356974645235,0.10623828414202084,41.6903358999989,1.4721792000054847,299.23828125,2,6
8,0.39495298061783857,0.4266818337476762,0.10527408067211354,42.00164319999749,1.5437720000045374,299.23828125,1,8
9,0.3918475203690097,0.43447222531102475,0.106230784885298,42.23060280000209,1.3980282999982592,299.23828125,1,8
10,0.38916842900814974,0.41823327238651803,0.1042266240744441,42.13735839999572,1.4561720000056084,299.23828125,2,10
11,0.3859580228258306,0.41605803758706517,0.10395522895411095,42.4564626999927,1.3844137999985833,299.23828125,1,11
12,0.3845697223298897,0.419749999464235,0.10441544248031226,42.03566779999528,1.4581754999962868,299.23828125,2,11
13,0.3812460502463532,0.41546414492302264,0.10388100818472178,41.565245199992205,1.5503891999978805,299.23828125,1,13
14,0.3804448284452825,0.4078181213113547,0.10292067857347449,41.60988440000801,1.4395665000047302,299.23828125,2,14
15,0.37880648188797506,0.41671189541494824,0.1040368825332114,41.18940449999354,1.3962705000012647,299.23828125,2,14
16,0.3761950446896431,0.41606282608750783,0.10395582717380943,39.67700660000264,1.2845302999921842,299.23828125,2,14
17,0.3753304805674656,0.4199570053770502,0.10444118631566138,29.651917800001684,1.2375658999953885,299.23828125,1,14
18,0.3742988696004462,0.4187216115130158,0.10428745506658918,29.85477710000123,1.2384426000062376,299.23828125,2,14
19,0.3716390536056729,0.4112983519216271,0.10335889691987285,43.30520419999084,1.7454091000108747,299.23828125,0,14
