epoch,train_mse_normalized,validation_mse_normalized,validation_rmse_mm_h,train_seconds,validation_seconds,peak_allocated_mib,skipped_amp_steps,best_epoch
1,0.5045714604413416,0.48765513618598766,0.11254489037284827,51.98082949999662,7.942301400005817,252.716796875,3,1
2,0.43615145175593106,0.4690397157386256,0.11037588278570898,49.27110280000488,3.043208200004301,252.716796875,3,2
3,0.4190734385648581,0.44573371597771977,0.10759872474189562,47.72143979999237,3.207868600002257,252.716796875,1,3
4,0.4089273649224146,0.44413705877566845,0.10740583782543017,53.60053809999954,4.653829500006395,252.716796875,0,4
5,0.4026175016077954,0.43362384032060663,0.10612701686827963,51.597643299988704,3.3065807000093628,252.716796875,1,5
6,0.39746969860017767,0.42945973811722404,0.10561621720720206,50.439150200007134,3.794055299993488,252.716796875,2,6
7,0.39289166806978504,0.42354174092731234,0.10488599193572001,51.102736999993795,3.3695263999979943,252.716796875,1,7
8,0.3885203560058057,0.4214956013514058,0.10463233192494137,51.388686999998754,3.8225067000021227,252.716796875,2,8
9,0.38514774782756184,0.4270526200124422,0.10531981229644627,51.614340700005414,3.595373899996048,252.716796875,1,8
10,0.3811183284528143,0.41037554453625963,0.10324288148608367,50.55026580000413,3.3418301999918185,252.716796875,1,10
11,0.37800222157587215,0.41153506688069724,0.1033886357671487,77.56764110000222,4.318414099994698,252.716796875,2,10
12,0.3760609380457345,0.4089079051963445,0.1030581006997025,91.07979519999935,5.21221169999626,252.716796875,2,12
13,0.3737207195480743,0.4080088077514747,0.1029447374409017,159.4956749999983,6.62469909999345,252.716796875,0,13
14,0.37156637569417167,0.40497180270293587,0.10256088831073268,101.22211790000438,6.957950299998629,252.716796875,3,14
15,0.3690831159267604,0.4034850291484238,0.10237244923006303,121.1176809000026,7.150198599993018,252.716796875,1,15
16,0.36583315932914967,0.4050666978576237,0.10257290391431091,125.09518359998765,6.113053300010506,252.716796875,1,15
17,0.364372507575694,0.407701035588131,0.10290590310554411,105.74482140000327,5.123145799996564,252.716796875,2,15
18,0.3626610828282561,0.4090866269759717,0.10308062009196044,86.90312740000081,3.8136228999937885,252.716796875,1,15
19,0.35887949108983586,0.40503627621027566,0.10256905208531898,103.68956850000541,7.143559200005257,252.716796875,1,15
20,0.357728952028972,0.40788184430788194,0.10292871911596987,132.46679510000104,5.691102699987823,252.716796875,2,15
