basin_id,RMSE,MAE,NSE,R,bias_mm_h,n_values,FHV_pct,FLV_pct,FLV_epsilon_mm_h
0,0.036077045762724115,0.014874345983944675,0.1057490121849255,0.3655959733243361,0.006353351620859845,1920,-73.36519196856105,-116.5750656794704,1e-06
1,0.06170385556175756,0.02188315692716666,0.10073193391930801,0.3573003405390538,-0.00865728632149209,1920,-64.69494224229848,5.153961210248686,1e-06
2,0.021850812550817493,0.014071858160462523,0.6505774786267117,0.9067875627344749,0.010924715804696247,1632,16.959543464104687,-1648.3268071602854,1e-06
3,0.018676809694753865,0.011733643103010156,0.5759817333991089,0.854308083174542,0.00823421160524352,1920,17.775294911659575,-683.7206421676116,1e-06
4,0.04922506099480147,0.025068763715423232,-2.4869021950652583,0.8329877129216988,0.021439406624765078,1872,142.52123192819352,-534.4131137670067,1e-06
5,0.08809158526467242,0.037755127597572,0.5881730030053851,0.7687668834898835,-0.0038912735408027374,528,-25.75850764958474,-1620.074548646535,1e-06
6,0.1119624157187268,0.042551711967098525,0.6899918809041145,0.9333463522243334,0.03315267814905383,1920,56.73112544875582,-2138.423763140257,1e-06
7,0.031097033162649432,0.020180917795126638,0.5881261646836056,0.8409363285391532,0.00806431304109061,1680,24.483341983558418,-521.3704599645115,1e-06
8,0.02312222987764022,0.014900114923652279,-0.6836112281553444,0.657397943450649,0.01178756420803869,1824,31.0531118955795,-2781.564067422522,1e-06
9,0.05137588591701487,0.025601618385348957,0.3129150473861151,0.7540138613747941,0.016099764895542042,1920,18.080270717368936,-396.25163580367916,1e-06
10,0.1965187939710209,0.039024818833672724,0.04688041946713539,0.24626499229920695,-0.006774663748099859,1920,-86.02578178701845,-404.0862234243155,1e-06
11,0.07609669999467221,0.025993447539318974,0.14046847056132472,0.38119579258528863,-0.005605312861735001,1920,-69.69154987526065,-2549.8404405437504,1e-06
12,0.1413562501098925,0.04805843269288609,0.1614929322201949,0.43974336892284677,-0.0266676726945055,1728,-58.67149515611058,-166.52432761390472,1e-06
13,0.05273469110861286,0.02279674656080956,0.23499199720910957,0.5233364019669635,0.011650510662536525,1872,-55.91391428999975,-187.3672728921683,1e-06
14,0.02986248592020705,0.01947101667054299,0.8692539703897477,0.9362626158521379,0.007037764250508546,1632,-19.318202869094353,-1106.684093192076,1e-06
15,0.04520827590865049,0.017161179537281527,0.7102874167485198,0.8934996321774533,0.008246965255542213,1728,23.167517040519048,-700.348218810039,1e-06
16,0.04299760290954312,0.023706153035891474,0.5734976297635446,0.822666509975183,0.012532146508359194,1920,-14.65001747965053,-671.1026023754463,1e-06
17,0.012325742816653372,0.008741996954418721,-36609.14739259851,0.5486490177486797,0.008208325780300684,1392,10451.472220220885,,1e-06
18,0.07538784463048548,0.019225566178745893,0.37480843274133724,0.6369449387309927,-0.009538005867963531,1776,-67.0547093167182,-1008.9463014642624,1e-06
19,0.10435806721534188,0.059179300473382074,0.8553403004730289,0.9371406812122001,0.005867599164290974,1920,17.28827115699416,36.171555823764244,1e-06
20,0.015273376910113426,0.012236464804866247,-10.081066317248068,0.07069755602091628,0.0014227450010366738,1440,87.1349215297216,-8336.740896187623,1e-06
21,0.060717748166633514,0.021889665835139262,0.34975511372509294,0.6568244250468137,0.004256174767457803,1920,0.12723695347740338,-631.9447875285276,1e-06
22,0.023212263933278847,0.013748362711401911,0.7432423654789126,0.8638854728049773,4.5418474399365295e-05,1872,-17.678741291782394,-1628.634581371695,1e-06
23,0.0782917114082443,0.031186505456935264,0.6515270182524706,0.8426918373147608,0.009607051672719535,1920,-46.93634667336171,-1422.2380397650613,1e-06
24,0.03096501416745525,0.01846129253778296,-0.18511061617978108,0.47834114325149896,0.008146502331752951,1920,-32.42354495115591,-1581.5246829650284,1e-06
25,0.07958926803579663,0.035783684078630834,0.5741647106825263,0.7594396216034833,0.003326385224332066,1872,-34.380431275912834,-121.19473371030347,1e-06
26,0.007280202238896095,0.005135837129477435,-27.843889413060626,0.602521443380377,0.0034321425009382622,1920,278.5120211319626,,1e-06
27,0.29366842567599133,0.06457648836862973,0.02882793024582475,0.2879232759962752,-0.04031682085550368,1632,-94.77163883496145,-40.54626150891526,1e-06
28,0.007887630296819242,0.005642623599715198,-9.326658129337027,0.7779207370451081,0.005462542762694393,1920,167.90090997907947,,1e-06
29,0.03132297168559507,0.020331936305144217,0.9151177609377785,0.9719849662808825,0.015419040936235846,1584,7.3847120727375986,-1253.4330759269633,1e-06
30,0.21129621538890736,0.049443185224178406,0.155788637499503,0.40739508393158136,-0.017749139120860492,1920,-50.106432237806885,-1506.808148591603,1e-06
31,0.013881402982063926,0.01002997596225225,-0.9642650323004016,0.860461333969653,0.009991238274969986,1920,62.32792877741212,,1e-06
32,0.21304414200632904,0.056560543590368675,0.015604058340469185,0.1847483648219009,-0.02161133140009497,1920,-72.83218153635158,-32.38998131016836,1e-06
33,0.09335591755409373,0.032391241633073754,0.3242782535093067,0.5734280760787728,0.005206136330343725,1920,-50.55040448752622,-949.6911622829467,1e-06
