model,scope,perturbation,level,hours,RMSE,MAE,NSE,R,bias_mm_h,n_values,delta_NSE,relative_delta_NSE_pct,relative_delta_RMSE_pct
am,auxiliares,faltantes,0.05,12,0.0642907146846789,0.013628842572091642,0.8754918189576775,0.9359120525893748,0.003813584462045598,217704,-4.183793912371225e-05,-0.004778564341204267,0.01680551658989194
am,auxiliares,faltantes,0.05,24,0.0860417318936948,0.01814125412097669,0.7642212691798175,0.874589614507451,0.004055389633158594,435408,-3.527365172673047e-05,-0.004615420313713352,0.007481084050844072
am,auxiliares,faltantes,0.05,48,0.10233149505277585,0.025434259070962965,0.6443591524490532,0.8036114177432483,0.005122453079335023,870816,-1.2732653199454269e-05,-0.0019759790105419914,0.0017901480085544294
am,auxiliares,faltantes,0.1,12,0.06429029242594009,0.01363454913341284,0.8754934544814107,0.9359132132920317,0.0038160226412911114,217704,-4.0202415390488966e-05,-0.00459176127311661,0.016148610373120445
am,auxiliares,faltantes,0.1,24,0.08604214165821916,0.018143791711503512,0.7642190234326104,0.8745886269848414,0.004058051656553232,435408,-3.7519398933816284e-05,-0.00490926761252291,0.007957358958585393
am,auxiliares,faltantes,0.1,48,0.1023330939817517,0.02543491910233513,0.6443480385901501,0.8036049904150907,0.0051244876531237145,870816,-2.384651210252109e-05,-0.003700737517239286,0.0033526753597054194
am,auxiliares,faltantes,0.2,12,0.0644008519421132,0.013646776427577318,0.875064860395912,0.935682912175944,0.0038068291375188065,217704,-0.00046879650088915703,-0.053544086763121876,0.18814560373878658
am,auxiliares,faltantes,0.2,24,0.0860833432574636,0.01815223418953929,0.7639931601743581,0.8744562875160242,0.004053951633868281,435408,-0.000263382657186062,-0.03446259762595402,0.055846540944850975
am,auxiliares,faltantes,0.2,48,0.10235038985849863,0.02543964674615459,0.6442278070583262,0.8035265469512217,0.005125482715219579,870816,-0.0001440780439264655,-0.0223594553483044,0.02025478976721247
am,auxiliares,ruido,0.1,12,0.06430457819935723,0.01365672239272724,0.8754381158027982,0.935883215264026,0.0038150958980699445,217704,-9.554109400300437e-05,-0.010912326813527141,0.03837293045610325
