model,seed,RMSE,NSE,parameters,best_epoch,epochs,training_minutes
lstm,42,0.1015858795910028,0.6495228659082043,210992,14,19,14.870951418333425
fdmlp,42,0.10237244436058437,0.6440744666762819,211048,15,20,26.894152338333274
mlp,42,0.10168262906494478,0.6488549654962008,211304,14,19,14.024103600001641
fdmlp_residual,42,0.1019891628021174,0.6467346418216015,211048,12,17,12.63198125166576
mlp_residual,42,0.10173109835408758,0.6485201235121487,211304,14,19,13.975254194999192
