bin,mean_absolute_gradient,relative_importance
0,0.00035607944450690766,0.05220208995844944
1,0.0012870848732853078,0.1886896909548951
2,0.0008702154723948764,0.12757564940626798
3,0.001748041613895311,0.25626704092969893
4,0.0009221484878977734,0.1351891524851945
5,0.0010353800722952074,0.1517891709530899
6,0.0006022222299860194,0.08828720531240425
